type,millis,sensor_x,sensor_y,sensor_z
10,1659069787252,0.17459999,-0.0307,-0.19849999
10,1659069787275,0.22039999,-0.0165,-0.5563
4,1659069787291,-0.2210634,-0.14545573,0.056635935
10,1659069787292,0.26299998,-0.0736,-0.5391
4,1659069787210,-0.22664845,-0.042551126,0.016353736
10,1659069787374,0.1232,-0.26209998,-0.0995
4,1659069787332,-0.39364156,-0.086638145,0.047787115
4,1659069787373,-0.5134235,-0.21151645,0.08454375
4,1659069787357,-0.48527133,-0.18181095,0.057526052
4,1659069787390,-0.52103317,-0.18015288,0.111823246
10,1659069787412,0.093899995,-0.3868,0.047399998
10,1659069787358,0.1892,-0.2525,-0.3676
10,1659069787392,0.1375,-0.3746,0.0084
4,1659069787410,-0.5045223,-0.15714945,0.14467034
10,1659069787333,0.2402,-0.2095,-0.71669996
4,1659069787430,-0.4926192,-0.106308006,0.16849409
10,1659069787432,0.1964,-0.214,0.1285
4,1659069787452,-0.4966858,-0.08124508,0.12908456
10,1659069787454,0.4991,0.22209999,-0.0916
4,1659069787490,-0.73890257,0.39367646,-0.114877574
4,1659069787474,-0.58836794,0.29991737,0.003752458
10,1659069787476,0.4572,0.5808,0.22809999
10,1659069787492,0.3611,-0.20349999,-1.0606999
10,1659069787512,0.088999994,-0.39589998,-1.9734999
4,1659069787530,-1.4084458,-0.770336,0.08189085
4,1659069787510,-1.0510547,-0.18842575,-0.030944688
10,1659069787542,-0.3701,-0.6074,-1.9417
10,1659069787558,-0.5027,-0.24949999,-0.378
4,1659069787556,-1.6283922,-1.1427543,0.21964969
10,1659069787592,-0.659,-0.6838,1.9038999
4,1659069787590,-1.0899233,-0.4065919,0.29899237
4,1659069787573,-1.468939,-0.9200678,0.288468
10,1659069787574,-0.40829998,-0.0654,1.2888
10,1659069787613,-0.9622,-0.92789996,1.7857
4,1659069787610,-0.6279171,-0.077178456,0.35747835
4,1659069787630,-0.16502088,0.012601277,0.42182863
10,1659069787633,-0.254,-0.27519998,1.8793999
4,1659069787656,0.390116,0.044732787,0.42097342
10,1659069787673,0.3525,-0.1091,0.2588
10,1659069787657,0.012399999,-0.120699994,1.4589
4,1659069787671,0.59386575,0.020263273,0.46575856
10,1659069787692,0.3103,-0.0037999998,-0.6257
4,1659069787690,0.46870816,0.104510315,0.5335646
4,1659069787710,0.20504127,-0.01743584,0.7343473
10,1659069787714,-0.26819998,0.19469999,-1.5374999
10,1659069787735,-0.42549998,-0.1387,-2.2152
4,1659069787730,-0.33039084,-0.54288465,0.8384387
4,1659069787755,-0.8677777,-0.7685383,0.6861064
10,1659069787757,0.3602,-0.18599999,-2.1014
10,1659069787776,0.663,-0.0064,-1.7384
4,1659069787775,-1.3126621,-1.0926459,0.44800857
4,1659069787791,-1.8275691,-1.3389992,0.22223277
10,1659069787794,0.75769997,0.38349998,-0.6667
4,1659069787810,-1.7053612,-1.0640749,-0.06295402
10,1659069787812,0.6437,0.17369999,0.5555
10,1659069787832,0.4622,-0.14039999,0.9026
4,1659069787830,-1.3873622,-0.72057664,-0.16130333
10,1659069787855,0.464,-0.25599998,0.2438
4,1659069787854,-1.1292803,-0.7038215,-0.2749417
10,1659069787872,0.4948,-0.2927,-0.0654
4,1659069787871,-1.0016445,-0.6922325,-0.3952996
10,1659069787892,0.2893,-0.2191,0.7471
4,1659069787890,-0.8707797,-0.40301397,-0.44266784
10,1659069787932,0.1131,-0.4019,1.2003
4,1659069787911,-0.6546381,-0.37086502,-0.37732273
10,1659069787912,0.2157,-0.1998,1.1280999
4,1659069787930,-0.41416663,-0.5070007,-0.3021863
4,1659069787953,-0.16458455,-0.034627333,-0.2671052
10,1659069787992,0.1998,-0.19929999,2.0084999
10,1659069786979,0.79819995,0.1565,0.9921
10,1659069787954,0.324,-0.17279999,2.0307
10,1659069786995,0.6278,-0.089499995,0.30339998
4,1659069787990,0.36822957,0.6692814,-0.43074727
10,1659069788012,0.5237,0.0030999999,2.3853
4,1659069787050,-0.1547758,0.08564331,-0.047472954
4,1659069787030,-0.07291985,0.17102481,0.021310471
10,1659069787033,0.4468,-0.0808,-0.3931
4,1659069788010,0.60000926,0.85960954,-0.4712389
4,1659069786979,-0.13910274,0.03487168,0.22949335
4,1659069787971,0.12231267,0.66196847,-0.36501816
4,1659069786994,-0.04605924,0.16530013,0.2080607
10,1659069787973,0.392,0.062099997,2.1785
10,1659069787112,-0.0578,-0.3576,0.2409
4,1659069787111,-0.29162705,0.03885103,-0.12992232
10,1659069788072,-2.8035,0.4603,1.5291
10,1659069788153,-1.8403,1.5022,-0.4588
4,1659069788110,0.8999441,-1.1398396,0.43374923
10,1659069788192,0.232,1.6822,-1.4988999
4,1659069788171,0.4978028,-0.34555775,1.1523362
10,1659069788133,-2.4994,1.2753999,-0.29819998
10,1659069788032,-1.4174,0.0462,2.4489
4,1659069788211,-0.049706977,-0.15472344,0.98445296
4,1659069788030,0.8809549,1.0764667,-0.4719545
10,1659069788092,-2.6058,0.93939996,0.8113
4,1659069788132,0.7214144,-1.338842,0.7147996
4,1659069788190,0.28667033,-0.08559094,1.12195
4,1659069788070,1.1042523,-0.11887438,-0.094911
10,1659069788055,-2.0321,0.4818,1.6075
10,1659069788113,-2.6066,1.221,-0.0682
4,1659069788090,1.0567794,-0.57033867,0.19123572
10,1659069788172,-0.8319,1.5956999,-0.8045
10,1659069788213,0.4976,1.4613999,-1.9390999
4,1659069788151,0.6218608,-0.93654364,0.9942617
4,1659069788054,1.0584375,0.51530844,-0.33740705
10,1659069788238,0.45929998,0.9676,-2.0516
4,1659069788237,-0.5794842,-0.11698942,0.87126833
10,1659069788252,1.6142,1.3713,-0.9948
10,1659069788272,2.3097,1.9472,0.241
4,1659069788250,-0.936247,0.055047683,0.7425503
4,1659069788270,-0.99722874,0.53387874,0.42779765
10,1659069788292,1.8287,1.8795999,0.85029995
4,1659069788290,-0.66615725,1.1280237,0.15737633
4,1659069788310,-0.28159142,1.7778273,-0.0074874624
10,1659069788313,0.92329997,1.9272,0.0056
4,1659069788335,-0.2952399,2.1089163,0.04925319
10,1659069788336,-0.6673,1.5856,-1.2771
4,1659069788350,-0.5224992,1.7422401,0.37182495
10,1659069788352,-0.9738,1.0529,-2.1998
10,1659069788373,-0.3746,0.8178,-3.2779999
4,1659069788390,-1.6112181,1.0342298,0.7903025
4,1659069788410,-2.2323284,1.4350097,0.595262
10,1659069788412,1.5562999,-0.057,-2.9940999
10,1659069788392,0.21239999,0.2119,-4.198
4,1659069788371,-0.9749235,1.3227676,0.6414085
10,1659069788472,1.7631999,1.1941,3.4003
4,1659069788490,0.22687535,-0.5487839,-0.16769123
4,1659069788452,-1.9627973,0.5126905,0.26858872
10,1659069788432,1.0033,0.571,-0.1626
10,1659069788453,0.5011,0.34039998,2.7179
4,1659069788470,-0.83330745,-0.7877718,0.13622294
4,1659069788431,-2.6237535,1.939951,0.30216885
10,1659069788496,1.9372,1.3205,2.7872
4,1659069788530,1.6137838,1.3016317,-0.62165135
4,1659069788513,1.1169584,0.5289744,-0.44546038
10,1659069788514,1.157,0.7768,0.79539996
10,1659069788533,0.69229996,-0.2658,-2.2518
10,1659069788572,0.4375,-1.4559,-5.7356997
10,1659069788552,0.6398,-1.1376,-4.8691998
10,1659069788594,0.3391,-2.0293999,-5.5147
4,1659069788550,1.4120935,1.6954129,-0.79026765
4,1659069788591,-0.25626668,1.9494281,-0.8350353
4,1659069788570,0.6292785,2.1504028,-0.90519756
10,1659069788614,1.2285,-2.8588998,-4.8226
4,1659069788650,-1.7568135,0.8589638,-1.5038455
10,1659069788653,1.6597999,-2.9936,-2.9317
10,1659069788614,1.2285,-2.8588998,-4.8226
4,1659069788670,-1.9626925,0.74007195,-1.7815971
4,1659069788631,-1.4051471,0.8338136,-1.1656182
10,1659069788632,2.0212,-2.7628,-3.8957999
4,1659069788690,-1.8343061,0.5869368,-1.6823578
10,1659069788672,0.7406,-3.2301,-0.9676
4,1659069788731,-0.5143311,0.45230207,-0.84751445
10,1659069788714,-1.7386,-3.4808998,2.8149
10,1659069788693,-1.008,-3.3515,1.1807
4,1659069788713,-1.2622046,0.5018345,-1.2273505
10,1659069788753,0.47579998,-2.4411,0.9122
10,1659069788732,-0.618,-2.9861,2.6373
4,1659069788750,-0.10941469,0.6238679,-0.70315826
10,1659069788792,1.4625,-2.169,-2.5756
4,1659069788770,-0.18839084,0.7535285,-0.7884874
10,1659069788772,1.2758,-2.4968998,-1.0752
4,1659069788790,-0.63114595,0.36192894,-1.0425724
4,1659069788812,-1.2295845,-0.010698868,-1.2056036
10,1659069788833,-4.7159,-3.5007,19.794199
4,1659069788830,-0.6204471,-2.3402946,-1.0252937
10,1659069788813,0.5535,-1.5275999,-2.7203999
10,1659069788852,-0.7777,0.7226,2.9232
4,1659069788850,0.0572468,-1.0267248,-0.6188588
10,1659069788872,-1.7558,0.0686,-1.5245999
4,1659069788870,0.3105639,-0.3528881,-0.22673573
4,1659069788891,0.31906363,-1.1185815,0.17205456
10,1659069788893,0.44829997,0.2145,-3.2536
4,1659069788910,0.6998945,-0.41411427,-0.19179423
10,1659069788912,1.4853,1.2387999,7.7263
10,1659069788932,0.2549,-1.2433,5.8016996
4,1659069788930,1.0212445,1.0587516,-0.29653144
10,1659069788952,2.4099998,-1.2644,-1.9468
4,1659069788951,0.64964646,0.72213,-0.14695673
4,1659069788970,0.048066366,-0.4696332,-0.45724136
10,1659069788977,3.0477998,-1.7261,-2.5904
4,1659069788993,0.12144001,-1.1909254,-0.8622625
10,1659069788994,0.27879998,-0.5809,0.32729998
10,1659069789033,1.2893,2.7066998,-1.8639
4,1659069789010,0.8548623,-2.2759268,-1.8809413
4,1659069789030,0.80724967,-3.8371587,-2.298267
10,1659069789012,2.1176,2.1571,-4.2254
4,1659069789110,-0.04431391,-0.23052308,-0.37271506
10,1659069789112,0.98639995,-0.685,0.9799
10,1659069789093,-2.4136999,-2.5825999,-2.7833998
10,1659069789152,0.114099994,-0.1995,-0.8434
10,1659069789172,1.1391,1.0718,0.1951
4,1659069789130,0.09072221,0.041486476,-7.330383E-4
4,1659069789170,-0.1184555,-0.030351276,-0.39215803
4,1659069789050,-0.106168374,-2.1098063,-2.9061303
4,1659069789150,-0.071907565,-0.057927478,-0.01277581
4,1659069789092,-0.17105971,0.01870993,-1.3200275
10,1659069789072,-0.9421,-2.0925999,1.1062
10,1659069789132,0.0011,-0.2723,-0.0206
10,1659069789052,1.4563999,-1.8133,7.7992997
4,1659069789070,0.7614348,1.2227253,-2.4615948
4,1659069789192,-0.14336134,-0.019914206,-0.7743677
10,1659069789193,-0.071499996,-0.2179,-0.3946
10,1659069789312,0.032899998,-0.5216,0.4357
4,1659069789211,-0.14240141,-0.07599164,-0.798715
10,1659069789213,0.0968,-0.1797,-0.38639998
10,1659069789272,0.0501,-0.2952,-0.023899999
4,1659069789230,0.1126261,0.13671164,-0.63903487
4,1659069789310,-0.085486226,-0.102869704,0.035552356
4,1659069789250,0.035168383,0.015114551,-0.039008107
4,1659069789270,-0.022794,-0.00991347,-0.0011519173
10,1659069789293,0.0358,-0.2787,-0.4067
10,1659069789252,-0.5487,-1.3103,-0.39679998
4,1659069789291,-0.100059725,-0.1010022,0.011327187
10,1659069789352,-0.0637,-0.37219998,-0.457
10,1659069789456,0.1182,-0.0846,-0.016099999
10,1659069789232,-0.24599999,-1.0145999,0.092599995
4,1659069789450,0.0766025,0.07319911,0.10119419
10,1659069789332,-0.12719999,-0.5613,0.1604
10,1659069789432,0.1654,-0.098299995,0.062
4,1659069789390,-0.06314601,-0.10843731,0.31669
4,1659069789492,-0.004363323,-0.00418879,0.0019024089
4,1659069789350,0.009267698,-0.020821778,0.28642598
10,1659069789392,0.107599996,-0.2375,0.0427
10,1659069789474,0.1296,-0.1069,-0.3295
4,1659069789410,-0.012618731,-0.046984263,0.27029914
4,1659069789330,0.049846604,0.045518186,0.18968238
10,1659069789372,0.0545,-0.2925,-0.40789998
10,1659069789412,0.16939999,-0.1629,0.0326
